Basin,Country,Description,DateSigned,Signatories,IssueArea
Unknown,Pakistan,Agreement between the Government of the Union of Burma and the Government of the Islamic Republic of Pakistan on the Demarcation of a Fixed Boundary between the two countries in the Naaf River,09/05/1966,Union of Burma  Islamic Republic of Pakistan,N.A.
Indus,Pakistan,Indo-Pakistan agreement (with appendices) on East Pakistan border disputes,23/10/1959,East Pakistan  India,Border Issues
Indus,Pakistan,Agreement between Pakistan and India on West Pakistan-India border disputes,11/01/1960,India  Pakistan,Border Issues
Indus,Pakistan,Inter-dominion agreement between the government of India and the government of Pakistan on the canal water dispute between East and West Punjab,04/05/1948,India  Pakistan,Water Quantity
General,Panama,Comite' Coordinador Regional de Inistituciones de Agua Potable y Saneamiento de Centroamerica  Panama' y Republica Dominicana (CAPRE),01/05/1979,Guatemala  El Salvador  Honduras  Nicaragua  Costa Rica  Panama  Dominican Republic,N.A.
General,Panama,Agreement for the creation of the regional coordinating committee of potable water and sanitation institutions of Central America  Panama  and the Dominican Republic (CAPRE),23/10/1989,Guatemala  El Salvador  Honduras  Nicaragua  Costa Rica  Panama,Water Quality  Technical Cooperation/Assistance
Fly,Papua New Guinea,Agreement between the government of Australia (acting on its own behalf and on behalf of the government of Papua New Guinea) and the government of Indonesia concerning administrative arrangements as to the border between Papua New Guinea and Indonesia,13/11/1973,Australia  Australia acting on the behalf of Papua New Guinea  Indonesia,Water Quality
Sepik,Papua New Guinea,Agreement between the government of Australia (acting on its own behalf and on behalf of the government of Papua New Guinea) and the government of Indonesia concerning administrative arrangements as to the border between Papua New Guinea and Indonesia,13/11/1973,Australia  Australia acting on the behalf of Papua New Guinea  Indonesia,Water Quality
La Plata,Paraguay,Treaty of the River Plata Basin,23/04/1969,Argentina  Bolivia  Brasil  Paraguay  Uruguay,N.A.
La Plata,Paraguay,Acuerdo por notas reversales sobre la creaci���n de una franja de seguridad de mil metros aguas abajo y aguas arriba del eje de la presa en toda su extension  de la Central Hidroelectrica de Yacyret���.,07/11/2000,Argentina  Paraguay,N.A.
La Plata,Paraguay,Convenio para el estudio del aprovechamiento de los recursos del R���o Paran���,18/06/1971,Paraguay  Argentina,N.A.
La Plata,Paraguay,Tratado de Yacyret���,03/12/1973,Paraguay  Argentina,N.A.
La Plata,Paraguay,Agreement through exchange of notes constituting the Statute of the Bi-National Commission for the Pilcomayo Lower Basin between the Republic of Argentina and the Republic of Paraguay,05/08/1994,Paraguay  Argentina,N.A.
La Plata,Paraguay,Acuerdo entre el Gobierno de la Rep���blica del Paraguay y el Gobierno de la Rep���blica Federativa del Brasil para la conservaci���n de la fauna acu���tica en los cursos de los r���os lim���trofes,01/09/1994,Paraguay  Brasil,N.A.
La Plata,Paraguay,Agreement on Paran��� River projects,19/10/1979,Argentina  Brazil  Paraguay,Flood control/relief  Water Quantity
La Plata,Paraguay,Agreement concerning cooperation between Brazil and Paraguay in a study on the utilization of the water power of the Acaray and Monday Rivers,20/01/1956,Brazil  Paraguay,Hydro-power/Hydro-electricity
La Plata,Paraguay,Treaty between the Federative Republic of Brazil and the Republic of Paraguay concerning the hydroelectric utilization of the water resources of the Parana River owned in condominium by the two countries  from and including the Salto Grande de Sete Quedas,26/04/1973,Brazil  Paraguay,Hydro-power/Hydro-electricity
La Plata,Paraguay,Agreement between the Argentine Republic and the Republic of Paraguay concerning a study of the utilization of the water power of the Apipe Falls,23/01/1958,Paraguay  Argentina,Hydro-power/Hydro-electricity
La Plata,Paraguay,Treaty of the River Plate Basin,14/08/1970,Argentina  Bolivia  Brazil  Paraguay  Uruguay,Joint Management
La Plata,Paraguay,Agreement constituting the trilateral commission for the development of the Pilcomayo river basin,09/02/1995,Argentina  Bolivia  Paraguay,Joint Management  Infrastructure/Development
La Plata,Paraguay,Agreement for the multiple uses of the resources of the upper basin of the Bermejo river and the Grande de Tarija river,09/06/1995,Argentina  Bolivia  Paraguay,Joint Management  Infrastructure/Development
La Plata,Paraguay,Supplementary boundary treaty between the Argentine Republic and the Republic of Paraguay on the river Pilcomayo and protocol annexed to the treaty,01/06/1945,Argentina  Paraguay,Water Quantity
La Plata,Paraguay,Supplementary boundary treaty between Argentina and Paraguay  signed at Buenos Aires,05/07/1939,Argentina  Paraguay,Water Quantity  Border Issues
Zarumilla,Peru,Agreement on the criteria for the rehabilitation or reconstruction of the headworks and ancillary works of the Zarumilla Canal.,20/06/1905,Ecuador  Peru,N.A.
Chira,Peru,Agreement for the development of the binational Puyango-Tumbes and Catamayo-Chira Basins by Peru and Ecuador (with provisional rules of procedure of the Mixed Peruvian-Ecuadorian Commission for the Puyango-Tumbes and Catamayo-Chira Basins).,26/02/1975,Ecuador  Peru,N.A.
Tumbes,Peru,Agreement for the development of the binational Puyango-Tumbes and Catamayo-Chira Basins by Peru and Ecuador (with provisional rules of procedure of the Mixed Peruvian-Ecuadorian Commission for the Puyango-Tumbes and Catamayo-Chira Basins).,26/02/1975,Ecuador  Peru,N.A.
Zarumilla,Peru,Reglamento para la Administracion del Canal de Zarumilla y la utilizacion de sus aguas,26/10/1998,Ecuador  Peru,N.A.
Zarumilla,Peru,Reglamento para la administracion del canal de zarumilla y la utilization de sus aguas,26/10/1998,Ecuador  Peru,N.A.
Unknown,Peru,Final protocol of the Boundary Commission (between Germany and Poland),18/10/1924,Germany  Poland,N.A.
Unknown,Peru,Protocol of Peace  Friendship and Boundaries Signed between Peru and Ecuador in Rio de Janeiro on January 29  1942,29/01/1942,Peru  Ecuador,N.A.
Chira,Peru,Agreement for the development of the binational Puyango-Tumbes and Catamayo-Chira basins by Peru and Ecuador (with provisional rules of procedure of the Mixed Peruvian-Ecuadorian Commission for the Puyango-Tumbes and Catamayo-Chira basins).,27/09/1971,Peru  Ecuador,N.A.
Tumbes,Peru,Agreement for the development of the binational Puyango-Tumbes and Catamayo-Chira basins by Peru and Ecuador (with provisional rules of procedure of the Mixed Peruvian-Ecuadorian Commission for the Puyango-Tumbes and Catamayo-Chira basins).,27/09/1971,Peru  Ecuador,N.A.
Chira,Peru,Exchange of letters constituting an agreement approving the rules of procedure of the Mixed Peruvian-Ecuadorian Commission for the Puyango-Tumbes and Catamayo-Chira basins  as provided for in article 16 of the abovementioned Agreement.,10/06/1972,Peru  Ecuador,N.A.
Tumbes,Peru,Exchange of letters constituting an agreement approving the rules of procedure of the Mixed Peruvian-Ecuadorian Commission for the Puyango-Tumbes and Catamayo-Chira basins  as provided for in article 16 of the abovementioned Agreement.,10/06/1972,Peru  Ecuador,N.A.
Amazon,Peru,Treaty for Amazonian cooperation,03/07/1978,Bolivia  Brazil Colombia  Ecuador  Guyana  Peru  Suriname  Venezuela,Economic Development
Lake Titicaca-Poopo System,Peru,Preliminary convention between Bolivia and Peru for the exploitation of fisheries in Lake Titicaca,17/07/1935,Peru  Bolivia,Fishing
Lake Titicaca-Poopo System,Peru,Agreement between Bolivia and Peru concerning a preliminary economic study of the joint utilization of the waters of Lake Titicaca.,19/02/1957,Bolivia  Peru,Hydro-power/Hydro-electricity
Lake Titicaca-Poopo System,Peru,Notas reversales related to the creation of the Autonomous Binational Authority of the basin of the Lake Titicaca  Desaguadero river  Lake Poop���  Coipasa Salt Pan system,21/06/1993,Bolivia  Peru,Joint Management
Zarumilla,Peru,Agreement on the criteria for the rehabilitation or reconstruction of the headworks and ancillary works of the Zarumilla Canal,05/03/1998,Ecuador  Peru,Navigation  Water Quality  Joint Management  Technical Cooperation/Assistance
Lake Titicaca-Poopo System,Peru,Exchange of notes between Peru and Bolivia establishing a joint commission for study of the Puno-Guaqui railway line and joint use of the waters of Lake Titicaca,20/04/1955,Bolivia  Peru,Technical Cooperation/Assistance
Lake Titicaca-Poopo System,Peru,Preliminary convention between Peru and Bolivia concerning a study of the joint utilization of the waters of Lake Titicaca,30/07/1955,Bolivia  Peru,Technical Cooperation/Assistance
Lake Titicaca-Poopo System,Peru,Treaty between Chile and Peru for the settlement of  the dispute regarding Tacna and Arica,03/06/1929,Chile  Peru,Territorial Issues  Irrigation
Amazon,Peru,Declaration and exchange of Notes concerning the termination of the process of demarcation of the Peruvian-Ecuadorean frontier,22/05/1944,Ecuador  Peru,Water Quantity
Oder/Odra,Poland,Convention between the Czechoslovak Republic and the Polish Republic concerning the improvement of the rivers Olsa and Petruvka signed at Katowice,18/02/1928,Czechoslovak Republic  Polish Republic,N.A.
Unknown,Poland,Agreement between the Government of the Republic of Poland and the Government of the Czech Republic on Cooperation on Transboundary Waters,19/05/1996,Poland  Czech Republic,N.A.
Vistula/Wista,Poland,Agreement between the Government of the Peoples? Republic of Poland and the Government of the Czechoslovakian Republic on regulation of certain problems related to the construction of a dam on the Orawa River near Uj?cie on the banks of the Orawa.,05/05/1905,Poland  Czechoslovakia,N.A.
Unknown,Poland,Treaty of 15 February 1961 signed in Moscow(between Poland and USSR),15/02/1961,Poland  USSR,N.A.
Danube,Poland,Treaty between Germany and Poland for the settlement of frontier questions,27/01/1926,Germany  Poland,Border Issues
Elbe,Poland,Treaty between Germany and Poland for the settlement of frontier questions,27/01/1926,Germany  Poland,Border Issues
Oder/Odra,Poland,Treaty between Germany and Poland for the settlement of frontier questions,27/01/1926,Germany  Poland,Border Issues
Vistula/Wista,Poland,Agreement between the government of the Polish People's Republic and the government of the Union of Soviet Socialist Republics concerning the use of water resources in frontier waters,17/07/1964,Polish  People's Republic  Soviet Union,Flood Control/Relief
Oder/Odra,Poland,Agreement between the government of the Czechoslovak Republic and the government of the Polish People's Republic concerning the use of water resources in frontier waters,21/03/1958,Czechoslovakia  Poland,Flood control/relief  Water Quantity
Oder/Odra,Poland,Agreement between the Federal Republic of Germany and the Republic of Poland on cooperation in the field of water management at border waters,19/05/1992,Germany  Federal Republic of  Poland,Joint Management
Danube,Poland,Framework convention of the protection and sustainable development of the Carpathians,22/05/2003,HUNGARY  ROMANIA  CZECH REPUBLIC  POLAND  UKRAINE  SLOVAKIA  SERBIA AND MONTENEGRO,Joint Management  Water Quality  Technical Cooperation/Assistance  Flood Control/Relief
Unknown,Poland,Treaty between the Government of the People?s Republic of Poland and the Government of the Czechoslovakian Republic on regulating certain issues related to the construction of the dam on the River Witka (Smeda).,N.A.,Poland  Czechoslovakia,N.A.
Vistula/Wista,Poland,A treaty regarding navigation and hydraulic works along the rivers Vistula and San [no title available],5/27/1871,Austria  Russia ,Navigation
Elbe,Poland,Convention supplementary to the statute of navigation of the Elbe,27/01/1923,Belgium  Czechoslovakia  France  Germany  Great Britain  Italy,Navigation
Elbe,Poland,Convention instituting the statute of navigation of the Elbe,22/02/1922,Italy  Germany  France  Belgium  Great Britain  Czechoslovakia,Navigation
Lava/Pregel,Poland,Agreement between Poland and the USSR concerning the regime on the Soviet-Polish state frontier,08/07/1948,Poland  Soviet Union,Navigation
Neman,Poland,Agreement between Poland and the USSR concerning the regime on the Soviet-Polish state frontier,08/07/1948,Poland  Soviet Union,Navigation
Vistula/Wista,Poland,Agreement between Poland and the USSR concerning the regime on the Soviet-Polish state frontier,08/07/1948,Poland  Soviet Union,Navigation
Danube,Poland,Agreement between the government of the Polish Republic and the government of the German Democratic Republic concerning navigation in frontier waters and the use and maintenance of frontier waters  signed at Berlin,06/02/1952,German Democratic Republic  Polish Republic,Navigation  Water Quantity
Elbe,Poland,Agreement between the government of the Polish Republic and the government of the German Democratic Republic concerning navigation in frontier waters and the use and maintenance of frontier waters  signed at Berlin,06/02/1952,German Democratic Republic  Polish Republic,Navigation  Water Quantity
Oder/Odra,Poland,Agreement between the government of the Polish Republic and the government of the German Democratic Republic concerning navigation in frontier waters and the use and maintenance of frontier waters  signed at Berlin,06/02/1952,German Democratic Republic  Polish Republic,Navigation  Water Quantity
Neman,Poland,Bilateral agreement between the Lithuanian Department of Environment and the Ministry of Environmental Protection  Nature  Conservation and Forestry of Poland,24/01/1992,Lithuania  Poland,Technical Cooperation/Assistance  Water Quality
Oder/Odra,Poland,Agreement between the Federal Republic of Germany  the Czech Republic and the Republic of Poland on protection of the Oder river from pollution,11/04/1996,German Fed. Rep.  Czech Republic  EEC  Poland,Water Quality
